177.102.189.199 - - "2022-06-01 15:14:44" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Linux; Android 10; SM-G9600 Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/101.0.4951.61 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/368.0.0.24.108;]"
201.68.157.114 - - "2022-06-01 16:29:04" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36"
189.78.160.30 administrative 26 "2022-06-01 16:58:26" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36"
191.205.14.143 administrative 27 "2022-06-01 17:14:16" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
191.205.14.143 administrative 27 "2022-06-01 17:15:32" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
191.205.14.143 administrative 27 "2022-06-01 17:15:36" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
187.106.35.123 - - "2022-06-01 21:16:07" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.62 Safari/537.36"
186.204.35.174 - 28 "2022-06-01 21:33:59" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36"
186.204.35.174 - 28 "2022-06-01 21:34:06" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36"
200.153.154.241 administrative 29 "2022-06-01 22:33:05" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (X11; Linux x86_64; rv:101.0) Gecko/20100101 Firefox/101.0"
200.153.154.241 administrative 29 "2022-06-01 22:33:14" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (X11; Linux x86_64; rv:101.0) Gecko/20100101 Firefox/101.0"
